"","KID","API_NUMBER","API_NUM_NODASH","LEASE","WELL","FIELD","LATITUDE","LONGITUDE","LONG_LAT_SOURCE","TOWNSHIP","TWN_DIR","RANGE","RANGE_DIR","SECTION","SPOT","FEET_NORTH","FEET_EAST","FOOT_REF","ORIG_OPERATOR","CURR_OPERATOR","ELEVATION","ELEV_REF","DEPTH","PRODUCE_FORM","IP_OIL","IP_GAS","IP_WATER","PERMIT","SPUD","COMPLETION","PLUGGING","MODIFIED","OIL_KID","OIL_DOR_ID","GAS_KID","GAS_DOR_ID","KCC_DOCKET","STATUS","STATUS2","COMMENTS","permit_as_date","spud_as_date","completion_as_date","plugging_as_date","modified_as_date"
"353940",1034571714,"15-099-23935",15099239350000,"OBRIEN","4-31","CHEROKEE BASIN COAL AREA",37.1323818,-95.3736792,"Calc. from footages",33,"S",19,"E",31," NE SE NW NW",-713,1025,"NW","Admiral Bay (USA) Inc.","Entransco Energy, LLC",873," GL",885,"MISSISSIPPIAN",NA,NA,NA,"17-APR-2006","03-AUG-2006","07-AUG-2006","","15-JUL-2016",NA,NA,1042952702,231894,"","CBM","Producing","Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)",2006-04-17,2006-08-03,2006-08-07,NA,2016-07-15
"353943",1034571720,"15-099-23938",15099239380000,"OBRIEN","6-36","CHEROKEE BASIN COAL AREA",37.1290285,-95.3874361,"From GPS",33,"S",18,"E",36," SW NE SE NW",3399,-2996,"SE","Admiral Bay (USA) Inc.","Entransco Energy, LLC",875," GL",916,"MISSISSIPPIAN",NA,NA,NA,"19-APR-2006","25-JUL-2006","31-JUL-2006","","15-JUL-2016",NA,NA,1042952703,231895,"","CBM","Producing","Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)",2006-04-19,2006-07-25,2006-07-31,NA,2016-07-15
"353945",1034571724,"15-099-23940",15099239400000,"ROGERS","14-25","CHEROKEE BASIN COAL AREA",37.1360172,-95.3893062,"From GPS",33,"S",18,"E",25,"  SW SE SW",641,-3553,"SE","Admiral Bay (USA) Inc.","Admiral Bay (USA) Inc.",840," GL",873,"MISSISSIPPIAN",NA,NA,NA,"26-APR-2006","01-AUG-2006","09-AUG-2006","","17-JUL-2012",NA,NA,NA,NA,"","CBM","Converted to Producing Well","Changed status from SWD per ACO-1. (DRL 04-29-2008)",2006-04-26,2006-08-01,2006-08-09,NA,2012-07-17
"354576",1034869693,"15-023-20682",15023206820000,"O'BRIEN","4-34","CHERRY CREEK",39.6612545,-102.0146262,"From GPS",4,"S",42,"W",34,"  NW NE SE",2327,-804,"SE","Lobo Production, Inc","Lobo Production, Inc",3544," GL",3247,"CEDAR HILLS",NA,NA,NA,"05-MAY-2006","27-JUL-2006","14-MAY-2007","","13-NOV-2013",NA,NA,NA,NA,"D28712.0","SWD","Authorized Injection Well","Disposal into Cedar Hills. TD corrected from 3427 to 3247 per second ACO-1, elogs. (DRL-DS 6-11-2013)",2006-05-05,2006-07-27,2007-05-14,NA,2013-11-13
"355135",1034870866,"15-189-22534",15189225340000,"RITTENOURE","11-3","UNKNOWN",37.1081844,-101.0940919,"Calc. from footages",34,"S",35,"W",11,"    N2",-1370,2640,"NW","Four Star Oil & Gas Company","Four Star Oil & Gas Company",2978," GL",NA,"MARMATON",NA,NA,NA,"25-MAY-2006","","","","20-OCT-2009",NA,NA,NA,NA,"","LOC","Cancelled API Number","AB LOC of SWD",2006-05-25,NA,NA,NA,2009-10-20
"359159",1035941205,"15-099-24075",15099240750000,"OBRIEN","4-36","CHEROKEE BASIN COAL AREA",37.1325386,-95.392764,"Calc. from footages",33,"S",18,"E",36,"  NE NW NW",4702,-4540,"SE","Admiral Bay (USA) Inc.","Entransco Energy, LLC",852," KB",896,"RIVERTON",NA,NA,NA,"21-AUG-2006","28-AUG-2006","02-SEP-2006","","15-JUL-2016",NA,NA,1042952703,231895,"","CBM","Producing","Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)",2006-08-21,2006-08-28,2006-09-02,NA,2016-07-15
"359672",1035942243,"15-155-19043",15155190430000,"MORTON","3","MORTON",37.96388,-98.2188,"From GPS",24,"S",8,"W",17,"  SW SE NE",2988,-1067,"SE","","Platte Valley Oil Co., Inc.",1663," KB",3932,"",NA,NA,NA,"","16-DEC-1966","09-FEB-1967","","28-FEB-2013",1001158184,NA,NA,NA,"D13340.0","SWD","Authorized Injection Well","This well is a workover of an oil well completed 12-31-1966; was converted to a SWD. (DRL 02-01-2013)There was an additional record in the KGS database for this well in sec. 24, with API 15-155-30158 for some time. Corrected to sec 17 per KCC (DLS-DRL 02",NA,1966-12-16,1967-02-09,NA,2013-02-28
"361970",1036119576,"15-055-90083",15055900830000,"WWDW","1","UNKNOWN",37.9503253,-100.8137013,"Calc. from quarter calls",24,"S",32,"W",22,"  SW NE SE",NA,NA,"","Monfort  Inc.","unavailable",2814," TOPO",NA,"",NA,NA,NA,"","","","","07-MAY-2012",NA,NA,NA,NA,"C10297.0","OTHER(CLASS ONE (OLD))","","Lease name and operator taken from electric logs with same location (DRL 8-11-11) Changed status from EOR to Class 1 and location from E2 to SW NE SE per KDHE records. Class 1 Injection well under KDHE authority, no API (DRL 5-7-2012)",NA,NA,NA,NA,2012-05-07
"365455",1036126105,"15-051-23946-0002",15051239460002,"Kraus","1","LEONHARDT SOUTHEAST",38.8084477,-99.3264071,"From GPS",14,"S",18,"W",28," SW NW SW NE",3608,-2407,"SE","Tengasco, Inc.","Tengasco, Inc.",2051," KB",3710,"",NA,NA,NA,"","23-OCT-2006","23-OCT-2006","","30-JUL-2015",NA,NA,NA,NA,"D23987.0","SWD","Authorized Injection Well","Disposal into Cedar Hills.",NA,2006-10-23,2006-10-23,NA,2015-07-30
"365905",1036127121,"15-195-20277-0002",15195202770002,"PFEIFER","3","VODA SOUTHEAST",39.0474169,-99.9343813,"Calc. from footages",11,"S",24,"W",36,"  NW SW SE",990,-2310,"SE","HELBERG OIL CO","P T K Petroleum",2429," KB",4045,"",NA,NA,NA,"","","14-JUN-1984","28-MAR-1997","22-MAY-2007",NA,NA,NA,NA,"D25977.0","SWD-P&A","Plugged and Abandoned","Info from the KCC, 21 May 2007, explaining why this series of records is so confusing:  15-198-20277-00-02 - SWD Application submitted in 1990 BUT submitted under 15-195-21267 Pfeifer 3 990 FSL, 990 FEL, NWSESE.  Order was written and well put on Docket",NA,NA,1984-06-14,1997-03-28,2007-05-22
"366092",1036145514,"15-205-27005",15205270050000,"RAMEY 'D' SWD","4-11 ","CHEROKEE BASIN COAL AREA",37.531071,-95.7280113,"Calc. from footages",29,"S",15,"E",11,"  SW SE SE",351,-1110,"SE","Dart Cherokee Basin Operating Co., LLC","RedBud Oil & Gas Operating, LLC",957," GL",1490,"ARBUCKLE",NA,NA,NA,"06-NOV-2006","20-APR-2007","01-MAY-2007","","09-OCT-2017",NA,NA,NA,NA,"D28938.0","SWD","Authorized Injection Well","Pennsylvanian Coals (Disposal Zone)",2006-11-06,2007-04-20,2007-05-01,NA,2017-10-09
"366440",1036146748,"15-191-01512-0001",15191015120001,"Skaggs","4","UNKNOWN",37.1987723,-97.4862456,"Calc. from footages",33,"S",2,"W",12,"   NE NW",-660,1980,"NW","Hewitt Energy Group, Inc.","Hewitt Energy Group, Inc.",1227," GL",NA,"",NA,NA,NA,"13-NOV-2006","","","","29-APR-2012",NA,NA,NA,NA,"","LOC","Expired Intent to Drill (C-1)","AB-LOC of SWD",2006-11-13,NA,NA,NA,2012-04-29
"366846",1036236449,"15-195-21847-0001",15195218470001,"JULIETTE","2","CEDAR VIEW WEST",38.855406,-99.7551115,"From GPS",14,"S",22,"W",10,"  N2 NE NW",4978,-3242,"SE","Hess Oil Company","Hess Oil Company",2308," KB",1522,"CEDAR HILLS",NA,NA,NA,"29-NOV-2006","04-DEC-2006","07-DEC-2006","","01-JUL-2008",NA,NA,NA,NA,"D28850.0","SWD","Authorized Injection Well","Disposal into Cedar Hills.",2006-11-29,2006-12-04,2006-12-07,NA,2008-07-01
"367517",1036244697,"15-059-25190",15059251900000,"FOLKS","10","PAOLA-RANTOUL",38.6954402,-95.0567333,"From GPS",15,"S",21,"E",34," SE SE SE SE",185,-136,"SE","Rock Oil Company","Haas Petroleum, LLC",1014," TOPO",730,"SQUIRREL",NA,NA,NA,"19-DEC-2006","26-DEC-2006","28-DEC-2006","","29-MAY-2015",1045036417,146121,NA,NA,"E26675.5","EOR","Authorized Injection Well","ACO-1 Status displays Oil (DRL 1-16-2009)",2006-12-19,2006-12-26,2006-12-28,NA,2015-05-29
"368510",1036283226,"15-175-60002-0001",15175600020001,"SUBLETTE DISPOSAL","1-W","ANG",37.2952261,-100.866137,"From GPS",32,"S",33,"W",1,"   SW NW",3311,-4619,"SE","NORTHERN NATURAL GAS PRODUCTION","Nichols LLC",2870," GL",4295,"",NA,NA,NA,"","","","","02-JUL-2013",NA,NA,NA,NA,"D27972.0","OTHER(CLASS ONE (OLD))","Authorized Injection Well","Class I well under KDHE authority, converted to Class II (DRL 7-31-2012)",NA,NA,NA,NA,2013-07-02
"368575",1036283823,"15-167-23408",15167234080000,"Trapp 'B'","2","WALDO",39.0259581,-98.7929484,"From GPS",12,"S",13,"W",8,"   S2 NW",3468,-3896,"SE","John O. Farmer, Inc.","Farmer, John O., Inc.",1636," KB",3450,"",NA,NA,NA,"17-JAN-2007","24-JAN-2007","13-MAR-2007","","21-DEC-2011",NA,NA,NA,NA,"D28844.0","SWD","Authorized Injection Well","Disposal into Arbuckle.",2007-01-17,2007-01-24,2007-03-13,NA,2011-12-21
"370018",1036443720,"15-091-00002",15091000020000,"DEFFENBAUGH QUARRY","7 SWD","UNKNOWN",39.0364293,-94.7978373,"Calc. from quarter calls",12,"S",23,"E",1," E2 E2 E2 E2",NA,NA,"","DEFFENBAUGH IND","unavailable",NA,"",5370,"",NA,NA,NA,"","","12-FEB-2007","","10-FEB-2012",NA,NA,NA,NA,"","OTHER(CLASS ONE (OLD))","","Class 1 Disposal well under authority of KDHE. This is an older disposal well, a newer Disposal well 2 was drilled in 2006 within a few hundred feet. Survey does not have documents for this well, but does have cuttings.(DS-DRL 2-10-2012). Total depth det",NA,NA,2007-02-12,NA,2012-02-10
"371763",1036762229,"15-133-26893",15133268930000,"VAN CLEAVE","18-1","CHEROKEE BASIN COAL AREA",37.5213332,-95.3625637,"Calc. from footages",29,"S",19,"E",18," NE NE NE SE",2408,-261,"SE","","Quest Cherokee, LLC",1018," GL",1325,"Arbuckle",NA,NA,NA,"","19-APR-2007","27-APR-2007","","17-APR-2008",NA,NA,NA,NA,"D28919.0","OIL","UIC Application Withdrawn","Corrected Notice of Intent - Well name from Van Cleave SWD 18-1 to Van Cleave 18-1",NA,2007-04-19,2007-04-27,NA,2008-04-17
"372006",1036763967,"15-055-20841-0001",15055208410001,"ANDERSON","2-15","PANOMA GAS AREA",37.9709249,-100.933362,"Calc. from footages",24,"S",33,"W",15," NW NW SE NW",3860,-3950,"SE","","RME Petroleum Company",2861," TOPO",NA,"",NA,NA,NA,"","","","","03-NOV-2009",NA,NA,NA,NA,"D27617.0","SWD","UIC Application Dismissed","Application for SWD was received 7-29-1998, Dismissal of Injection Applic for SWD Authority was issued on 4-3-07 by KCC. Field Inspection by KCC 8-19-02 well is a gas producer. (DS 11-02-2009)",NA,NA,NA,NA,2009-11-03
"374997",1037027099,"",NA,"170-70 K-4072-01 Bridge 13.08","","",38.6298983,-95.8475648,"Center of section",16,"S",14,"E",27,"    ",NA,NA,"","KDOT","unavailable",1059," GL",52,"",NA,NA,NA,"","","14-SEP-1992","","17-DEC-2004",NA,NA,NA,NA,"","OTHER()","","KDOT Bridge core. Whole core, 2 in diameter.  K-170 over Salt Creek.  On 2nd floor of Lawrence Core Facility.",NA,NA,1992-09-14,NA,2004-12-17
"375007",1037027111,"",NA,"Wastewater Disposal","2","UNKNOWN",38.032386,-97.8844405,"Calc. from footages",23,"S",5,"W",21,"  SW NW SW",1425,150,"SW","City of Hutchinson","unavailable",1529," KB",4740,"",NA,NA,NA,"","25-AUG-2005","25-OCT-2005","","28-DEC-2011",NA,NA,NA,NA,"","OTHER(CLASS ONE (OLD))","","Class 1 Injection Well, KDHE Permit No. KS-01-155-009; Disposing into Arbuckle 4055' to 4740'.",NA,2005-08-25,2005-10-25,NA,2011-12-28
"375161",1037027426,"15-195-22467",15195224670000,"CBCF","2-32","UNNAMED",38.7854366,-99.6812553,"Calc. from footages",14,"S",21,"W",32,"  SE SE SW",641,-3089,"SE","Crawford Oil Company","Norstar Petroleum, Inc.",2065," KB",4336,"CHEROKEE",NA,NA,NA,"22-JUN-2007","23-JUL-2007","16-AUG-2007","","09-JUN-2015",NA,NA,NA,NA,"D28997.0","SWD","Authorized Injection Well","Disposal into Arbuckle; Field listed as Maddie on ACO-1 (sp. on ACO-1 as Mattie). Completion date changed from 31 July 2007. (DRL 12 2007)",2007-06-22,2007-07-23,2007-08-16,NA,2015-06-09
"376204",1037036111,"15-205-27256",15205272560000,"Shire","5-5 SWD","CHEROKEE BASIN COAL AREA",37.4683182,-95.9060546,"Calc. from footages",30,"S",14,"E",5,"  NW SW NW",3445,-5121,"SE","Layne Energy Operating, LLC","RedBud Oil & Gas Operating, LLC",947," GL",1803,"",NA,NA,NA,"20-JUL-2007","22-AUG-2007","30-NOV-2007","","06-JUL-2018",1043171094,141158,NA,NA,"D30076.0","SWD","Authorized Injection Well","Disposal into Arbuckle",2007-07-20,2007-08-22,2007-11-30,NA,2018-07-06
"379469",1037337104,"15-049-21858",15049218580000,"Thomas","2","UNKNOWN",37.4586594,-96.0295635,"Calc. from footages",30,"S",13,"E",7," SE NW NE NW",4935,-3610,"SE","BS and B Oil and Gas Inc","BS & B Oil and Gas, Inc.",971," TOPO",1554,"",NA,NA,NA,"","26-JUN-1984","30-JUN-1984","01-OCT-1994","03-DEC-2012",NA,NA,NA,NA,"","OIL-P&A","Converted to SWD Well","Converted to SWD 11-2-1988 API 15-049-21858-0001",NA,1984-06-26,1984-06-30,1994-10-01,2012-12-03
"379710",1037337381,"15-007-20012",15007200120000,"Edith Davis 'A-G'","1-C","RHODES EAST",37.1904835,-98.4702795,"Calc. from footages",33,"S",11,"W",12," SE NW SE NW",-1880,1930,"NW","K & E Drilling, Inc.","unavailable",1525," KB",4604,"",NA,NA,NA,"","03-APR-1967","16-APR-1967","24-FEB-1998","17-SEP-2014",NA,NA,NA,NA,"","OIL-P&A","Converted to SWD Well","Later operator Indian Oil Co., who probably did the SWD conversion. Other API 15-007-30313.",NA,1967-04-03,1967-04-16,1998-02-24,2014-09-17
"381663",1037351510,"15-019-26849",15019268490000,"Mills SWD","15-15","CHEROKEE BASIN COAL AREA",37.2562785,-95.9702636,"From GPS",32,"S",13,"E",15,"  SE SW SE",197,-1782,"SE","Layne Energy Operating, LLC","RedBud Oil & Gas Operating, LLC",921," GL",2025,"",NA,NA,NA,"15-NOV-2007","02-JAN-2008","22-JAN-2008","","02-JUL-2018",NA,NA,NA,NA,"D30103.0","SWD","Authorized Injection Well","Disposal into Arbuckle.",2007-11-15,2008-01-02,2008-01-22,NA,2018-07-02
"383879",1037782847,"",NA,"PLANT SITE DISPOSAL","10","UNKNOWN",37.5863635,-97.4172535,"From GPS",28,"S",1,"W",27,"  SE SE NW",2865,-3038,"SE","VULCAN CHEMICALS","unavailable",1321.3," KB",4866,"",NA,NA,NA,"","14-NOV-2000","03-APR-2001","","07-JAN-2013",NA,NA,NA,NA,"","OTHER(CLASS ONE (OLD))","","Current Operator Occidental Chemical. Class I UIC Permit No. KS-01-173-010; Injection zone Simpson, Arbuckle; Data source: Kansas Department of Health & Environment, Bureau of Water - MTD 02/08/2008   Status changed from INJ to CLASS1 per KDHE (DRL 2-21-",NA,2000-11-14,2001-04-03,NA,2013-01-07
"385225",1037929258,"15-079-00642-0001",15079006420001,"BACHMAN, C.","1","SPERLING",38.1350248,-97.5035842,"Calc. from footages",22,"S",2,"W",14,"  SW NE SE",1650,-990,"SE","","Val Energy, Inc.",1467," TOPO",3374,"",NA,NA,NA,"","26-JUL-1955","07-JUL-1955","06-MAR-2015","03-JUN-2015",NA,NA,NA,NA,"E04552.1","EOR-P&A","Plugged and Abandoned","Other operators: Operator changed from Texaco, Inc to Brigman Production, Inc., then to Val Energy, Inc (KCC) Spud date taken from date on wireline log. Depth from KCC UIC record. Log records 3490 as TD. Wireline log calls well SWD. (DRL-DS 3-8-2010)",NA,1955-07-26,1955-07-07,2015-03-06,2015-06-03
"388051",1038329619,"15-115-19139",15115191390000,"VOGEL","3","UNKNOWN",38.41044,-97.07111,"From GPS",19,"S",3,"E",11,"    SW",1509,-3605,"SE","","CK Oil & Gas LLC",1381," KB",2360,"",15,NA,NA,"","20-JUN-1961","30-JUN-1961","","28-NOV-2016",NA,NA,NA,NA,"D08628.0","OIL","Authorized Injection Well","Quarters changed from SE NE SW to SW NE SW, elev. from 1331 to 1381 KB, and status from SWD to Oil per drillers log; TD, spud and completion dates, and IP added per drillers log; DRL-DRS, 03-11-2009.",NA,1961-06-20,1961-06-30,NA,2016-11-28
"388446",1038337695,"15-019-26924",15019269240000,"Wyrick SWD","1-4","CHEROKEE BASIN COAL AREA",37.2120914,-95.9833283,"Calc. from footages",33,"S",13,"E",4," N2 NE NE NE",5164,-380,"SE","Layne Energy Operating, LLC","RedBud Oil & Gas Operating, LLC",876," GL",2163,"",NA,NA,NA,"24-JUL-2008","24-OCT-2008","26-NOV-2008","","26-JUN-2018",NA,NA,NA,NA,"D30351.0","SWD","Authorized Injection Well","Disposal into Arbuckle",2008-07-24,2008-10-24,2008-11-26,NA,2018-06-26
"388842",1038340736,"15-083-21568",15083215680000,"Tammen 'C'","2","GOEBEL SOUTHEAST",38.19275,-99.8973934,"From GPS",21,"S",23,"W",30," NE NW SW SW",1060,-4830,"SE","Whitetail Crude, Inc.","Whitetail Crude, Inc",2391," KB",4820,"",NA,NA,NA,"07-AUG-2008","23-AUG-2008","31-AUG-2008","","21-NOV-2013",NA,NA,NA,NA,"D30374.0","SWD","Authorized Injection Well","Other operator Pintail Petroleum, Ltd., who gave over well when SWD decision was made. Original name was Tammen 'C' WFO 1-30.",2008-08-07,2008-08-23,2008-08-31,NA,2013-11-21
"389659",1038514588,"15-135-24843",15135248430000,"Carlson","1-7 SWD","PRAIRIE RIDGE NORTH",38.6763435,-100.2431574,"From GPS",16,"S",26,"W",7,"  SE SW NW",2905,-4041,"SE","Pintail Petroleum, Ltd.","Pintail Petroleum, Ltd.",2658," KB",4880,"",NA,NA,NA,"04-SEP-2008","08-OCT-2008","12-NOV-2008","","21-NOV-2013",NA,NA,NA,NA,"D30344.0","SWD","Authorized Injection Well","Well was intented as Carlson-Armstrong Unit 1-7, but changed as part of SWD application. Footages changed based on GPS.",2008-09-04,2008-10-08,2008-11-12,NA,2013-11-21
"389972",1038574510,"15-007-23367",15007233670000,"Allen 'C'","1","ELWOOD",37.0605318,-98.6956355,"From GPS",34,"S",13,"W",26," W2 NE SE NE",3799,-425,"SE","Woolsey Operating Co., LLC","Woolsey Operating Company, LLC",1488," KB",6430,"",NA,NA,NA,"11-SEP-2008","21-SEP-2008","23-JAN-2009","","31-DEC-2013",1041399738,140208,NA,NA,"D30360.0","SWD","Authorized Injection Well","Originally filed as oil/gas well. Converted to saltwater disposal well once drilled. Source: KCC. Injection into Arbuckle.",2008-09-11,2008-09-21,2009-01-23,NA,2013-12-31
"390275",1038578055,"15-081-21838",15081218380000,"McCoy 'C'","2","Lockport Township",37.4303726,-100.766939,"Calc. from footages",30,"S",32,"W",24,"  NE NW NE",-330,-1650,"NE","Oxy USA, Inc.","Merit Energy Company, LLC",2864," KB",5805,"Chester",43,1197,0,"22-SEP-2008","25-SEP-2008","07-NOV-2008","","29-SEP-2014",1040659955,139805,1040058067,231341,"","GAS","Producing","Info from DOR 26 Feb 2009: Lease 139805, (API 15-081-21838) had a name change from Smith Z-1 to McCoy C-2. Per the operator, 'the well was classified as an oil well and later  the composition of production (ratio of gas to oil) was changed and was reclas",2008-09-22,2008-09-25,2008-11-07,NA,2014-09-29
"390734",1038698729,"15-009-25275",15009252750000,"Schneweis","3-35","SNOW WHITE",38.5346976,-98.6158615,"From GPS",17,"S",12,"W",35," SE NW NW NE",4674,-2076,"SE","Samuel Gary Jr. and Assoc., Inc.","Samuel Gary Jr. & Associates, Inc.",1853," KB",3599,"",NA,NA,NA,"08-OCT-2008","18-NOV-2008","05-MAY-2010","","04-JAN-2012",NA,NA,NA,NA,"D30394.0","SWD","Authorized Injection Well","Disposal into Arbuckle.",2008-10-08,2008-11-18,2010-05-05,NA,2012-01-04
"390808",1038699905,"15-125-31808",15125318080000,"Oliver SWD","13-20","CHEROKEE BASIN COAL AREA",37.2413422,-95.909452,"Calc. from footages",32,"S",14,"E",20," SW SW SW SW",115,-5115,"SE","Layne Energy Operating, LLC","RedBud Oil & Gas Operating, LLC",835," GL",1920,"",NA,NA,NA,"15-OCT-2008","30-OCT-2008","02-DEC-2008","","24-MAY-2018",NA,NA,NA,NA,"D30352.0","SWD","Authorized Injection Well","Disposal into Arbuckle.",2008-10-15,2008-10-30,2008-12-02,NA,2018-05-24
"390945",1038700048,"15-009-06900-0001",15009069000001,"MCKINNEY 'B'","2 (was 2)","GREAT BEND TOWNSITE",38.3786265,-98.7843947,"From GPS",19,"S",13,"W",20,"  NE SE SW",847,-3084,"SE","Honaker-Davis and Colorado Oil","K & N Petroleum, Inc.",1857.7," KB",3610,"",NA,NA,NA,"","","14-AUG-1955","","03-MAR-2016",NA,NA,NA,NA,"D05119.0","SWD","Authorized Injection Well","other API was 15-009-90927. Orig drilled by Sun Oil as McKinney 1,compl 8-3-1955, TD 3580, D&A. Drilled deeper by Honaker and Davis 5-2-1956, renamed McKinney 2, TD 3610, TA.  Then deeper to 3741, Converted to SWD 8-14-1956 and renamed B-2(DLS-DRL 12-18-",NA,NA,1955-08-14,NA,2016-03-03
"393056",1039253608,"15-167-07950-0001",15167079500001,"SCHNEIDER 'A'","2","UNKNOWN",38.7085392,-98.8482225,"Calc. from quarter calls",15,"S",14,"W",35,"  SE NE NW",NA,NA,"","ALADDIN PETROLEUM CORP.","unavailable",NA,"",3541,"",NA,NA,NA,"","","19-DEC-1951","01-AUG-1978","02-FEB-2009",NA,NA,NA,NA,"","SWD-P&A","","Well added per info on Western KS Oil and Refg. Schneider 2 card. re. OWWO conversion to SWD. (DS 02-02-2002)",NA,NA,1951-12-19,1978-08-01,2009-02-02
"395699",1040722255,"15-197-20265-0001",15197202650001,"THOMPSON","1-33","UNKNOWN",38.8810335,-95.9684844,"Calc. from footages",13,"S",13,"E",33,"  W2 E2 NE",-1320,-990,"NE","","Anadarko Petroleum Corporation",1318," KB",NA,"",NA,NA,NA,"","","","14-AUG-2004","02-DEC-2010",NA,NA,NA,NA,"D28185.0","SWD-P&A","UIC Application Dismissed","Application for SWD was received but before any action was taken well was plugged (DRL per KCC) Footage changed from 3620 FNL to 1320 FNL per ACO-1 and aerial images. (DS-DRL 12-02-2010)",NA,NA,NA,2004-08-14,2010-12-02
"396064",1040727784,"15-007-23438",15007234380000,"Tucker","1","Salty Creek",37.1177674,-98.3497572,"Calc. from footages",34,"S",10,"W",1,"   SE NE",-2030,-660,"NE","Hart Energies, LLC","Hart Energies, LLC",1338," KB",5030,"Mississippian",NA,NA,NA,"25-JUN-2009","30-JUN-2009","12-JUL-2009","","15-APR-2014",NA,NA,1042135125,231927,"","O&G","Recompleted","Discovery well for Salty Creek field.",2009-06-25,2009-06-30,2009-07-12,NA,2014-04-15
"396406",1040855994,"15-001-29920",15001299200000,"L. Thompson","D-1","IOLA",37.9882557,-95.3691193,"Calc. from footages",24,"S",19,"E",6," SW SE SW NW",2925,-4445,"SE","Thompson Oil Co.","Thompson Oil Co",1000," GL",NA,"",NA,NA,NA,"15-JUL-2009","","","","08-AUG-2010",NA,NA,NA,NA,"","LOC","Cancelled API Number","SWD AB LOC",2009-07-15,NA,NA,NA,2010-08-08
"396503",1040856877,"15-019-26589-0001",15019265890001,"Pitts","1","CHEROKEE BASIN COAL AREA",37.2136558,-95.9840185,"Calc. from footages",32,"S",13,"E",33," NW SE SE SE",488,-575,"SE","","RedBud Oil & Gas Operating, LLC",870," GL",1617,"Holdenville and Mulky producing zones",0,13,0,"","26-NOV-2007","26-NOV-2007","","21-JUN-2018",NA,NA,1039083907,230971,"","CBM","Producing","Disposal into Burgess.",NA,2007-11-26,2007-11-26,NA,2018-06-21
"401965",1042327896,"15-031-22585",15031225850000,"Wilson","D-1","HATCH SOUTH",38.1702148,-95.9530205,"From GPS",22,"S",13,"E",2," NW NW NE NW",5115,-3780,"SE","Haas Petroleum, LLC","Trimble & Maclaskey Oil LLC",1153," KB",1864,"",NA,NA,NA,"27-APR-2010","24-FEB-2010","27-FEB-2010","","16-FEB-2017",1043061433,140875,NA,NA,"D30651.0","SWD","Authorized Injection Well","Disposal into Lansing-Kansas City.",2010-04-27,2010-02-24,2010-02-27,NA,2017-02-16
"406574",1043018106,"",NA,"PLANT SITE DISPOSAL","9","UNKNOWN",37.5827884,-97.420898,"From GPS",28,"S",1,"W",27,"  SE NW SW",1545,1240,"SW","VULCAN MATERIALS","unavailable",1303," GL",4600,"",NA,NA,NA,"","","01-APR-1982","","15-AUG-2011",NA,NA,NA,NA,"","INJ","","Class 1 injection well under authority of KDHE. Injecting into Arbuckle. Compl date estim from letters. Latitude longitude values from Petrotek.(DS-DRL 12-2010)",NA,NA,1982-04-01,NA,2011-08-15
"406575",1043018109,"",NA,"PLANT SITE DISPOSAL","6","UNKNOWN",37.583927,-97.4227983,"Calc. from footages",28,"S",1,"W",27,"   NW SW",1980,-4620,"SE","VULCAN MATERIALS","unavailable",1313," TOPO",3932,"",NA,NA,NA,"","","","","21-FEB-2012",NA,NA,NA,NA,"","OTHER(CLASS ONE (OLD))","","Class 1 injection well under KDHE authority. Status changed from INJ to CLASS1 (DRL 2-21-2012)",NA,NA,NA,NA,2012-02-21
"406797",1043121905,"15-207-27724",15207277240000,"D. Gleue","1-10","VERNON",38.0098343,-95.6309176,"Calc. from footages",23,"S",16,"E",27," SE SW SE SE",50,-800,"SE","Laymon Oil II, LLC","Laymon Oil II, LLC",1066," GL",1485,"Mississippian",1,NA,NA,"08-NOV-2010","12-NOV-2010","09-DEC-2010","","20-MAR-2014",NA,NA,NA,NA,"","OIL","Converted to EOR Well","Name and status changed from SWD to Oil on ACO-1.",2010-11-08,2010-11-12,2010-12-09,NA,2014-03-20
"407382",1043230810,"",NA,"PLANT SITE DISPOSAL","8","UNKNOWN",37.5829655,-97.4217226,"From GPS",28,"S",1,"W",27,"    ",NA,NA,"","VULCAN MATERIALS","unavailable",1308," GL",4591,"",NA,NA,NA,"","","01-JAN-1990","","21-FEB-2012",NA,NA,NA,NA,"","OTHER(CLASS ONE (OLD))","","Class 1 Injection Well under authorization by KDHE. Status changed from INJ to CLASS1 (DRL 2-21-2012)",NA,NA,1990-01-01,NA,2012-02-21
"407799",1043235767,"15-131-20027-0002",15131200270002,"McClain 'A'","2","MCCLAIN",39.7053353,-95.8894277,"From GPS",4,"S",14,"E",18,"  SE SW NE",3184,-1918,"SE","Petroleum Property Services, Inc.","Petroleum Property Services, Inc.",1284," TOPO",3890,"",NA,NA,NA,"","","","","15-AUG-2018",1001130502,117234,NA,NA,"D21196.0","SWD","Authorized Injection Well","SWD disposal status and lease number assignment confirmed by operator on 06/12/12.",NA,NA,NA,NA,2018-08-15
